epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,195.632,1.30944,0.65351,1.09267,0.95061,0.97216,0.98636,0.56751,1.39525,0.66624,1.16709,0.0006734,0.0006734,0.0006734
69,198.174,1.22678,0.62129,1.06001,0.96147,0.97475,0.98754,0.55248,1.45195,0.70362,1.1784,0.0006536,0.0006536,0.0006536
70,202.584,1.28378,0.6531,1.06412,0.9704,0.99346,0.98538,0.54858,1.45527,0.67397,1.1722,0.0006338,0.0006338,0.0006338
71,206.761,1.30537,0.6373,1.08465,0.95926,0.9899,0.98761,0.57417,1.39857,0.63387,1.15373,0.000614,0.000614,0.000614
72,211.273,1.27106,0.62614,1.04082,0.96556,0.99128,0.98733,0.57513,1.39295,0.63025,1.14654,0.0005942,0.0005942,0.0005942
73,215.625,1.26137,0.62388,1.05036,0.95704,0.9899,0.98614,0.57168,1.44231,0.63835,1.15707,0.0005744,0.0005744,0.0005744
74,219.926,1.33894,0.64923,1.08398,0.95107,0.98175,0.9807,0.56204,1.43444,0.64553,1.14845,0.0005546,0.0005546,0.0005546
75,224.135,1.20624,0.62202,1.02871,0.95117,0.99495,0.98217,0.56644,1.39467,0.65538,1.14069,0.0005348,0.0005348,0.0005348
76,227.197,1.22402,0.62527,1.03439,0.96556,0.99103,0.98315,0.55716,1.41753,0.66036,1.14148,0.000515,0.000515,0.000515
77,229.912,1.19391,0.61713,1.05165,0.96098,0.995,0.98689,0.55609,1.43781,0.65538,1.14336,0.0004952,0.0004952,0.0004952
78,232.703,1.25855,0.63993,1.07037,0.96543,0.98733,0.98857,0.56477,1.40003,0.63745,1.14504,0.0004754,0.0004754,0.0004754
79,235.497,1.28883,0.62277,1.07045,0.95175,0.99631,0.98878,0.57526,1.39726,0.62383,1.1472,0.0004556,0.0004556,0.0004556
